t, xref,zref, xact,zact 
0.000000, 1.755165, 1.250000, 1.755165, 1.250000 
0.010000, 1.755159, 1.251000, 1.755165, 1.250000 
0.020000, 1.755141, 1.252000, 1.755168, 1.250002 
0.030000, 1.755111, 1.252999, 1.755174, 1.250009 
0.040000, 1.755069, 1.253998, 1.755183, 1.250024 
0.050000, 1.755015, 1.254997, 1.755195, 1.250052 
0.060000, 1.754949, 1.255994, 1.755207, 1.250098 
0.070000, 1.754871, 1.256991, 1.755218, 1.250165 
0.080000, 1.754782, 1.257986, 1.755226, 1.250257 
0.090000, 1.754680, 1.258981, 1.755230, 1.250379 
0.100000, 1.754566, 1.259973, 1.755230, 1.250531 
0.110000, 1.754441, 1.260965, 1.755224, 1.250719 
0.120000, 1.754304, 1.261954, 1.755210, 1.250943 
0.130000, 1.754155, 1.262942, 1.755188, 1.251207 
0.140000, 1.753994, 1.263927, 1.755157, 1.251512 
0.150000, 1.753821, 1.264910, 1.755116, 1.251861 
0.160000, 1.753637, 1.265891, 1.755065, 1.252253 
0.170000, 1.753441, 1.266870, 1.755004, 1.252689 
0.180000, 1.753234, 1.267846, 1.754931, 1.253171 
0.190000, 1.753015, 1.268818, 1.754846, 1.253699 
0.200000, 1.752784, 1.269788, 1.754749, 1.254273 
0.210000, 1.752542, 1.270755, 1.754639, 1.254893 
0.220000, 1.752289, 1.271719, 1.754517, 1.255559 
0.230000, 1.752024, 1.272679, 1.754381, 1.256270 
0.240000, 1.751748, 1.273636, 1.754232, 1.257026 
0.250000, 1.751461, 1.274589, 1.754070, 1.257826 
0.260000, 1.751163, 1.275538, 1.753894, 1.258668 
0.270000, 1.750854, 1.276483, 1.753704, 1.259552 
0.280000, 1.750534, 1.277424, 1.753501, 1.260475 
0.290000, 1.750203, 1.278361, 1.753284, 1.261437 
0.300000, 1.749861, 1.279293, 1.753053, 1.262436 
0.310000, 1.749508, 1.280221, 1.752809, 1.263470 
0.320000, 1.749144, 1.281144, 1.752551, 1.264537 
0.330000, 1.748770, 1.282063, 1.752279, 1.265635 
0.340000, 1.748386, 1.282976, 1.751994, 1.266762 
0.350000, 1.747991, 1.283885, 1.751695, 1.267916 
0.360000, 1.747585, 1.284788, 1.751384, 1.269096 
0.370000, 1.747170, 1.285686, 1.751059, 1.270298 
0.380000, 1.746744, 1.286579, 1.750721, 1.271520 
0.390000, 1.746308, 1.287466, 1.750371, 1.272761 
